"","ISO","Language.Name","Altitude","Area","Bordering.languages","Bordering.languages.km","Extended","L1.pop","Polysynthetic","Roughness","Small.family","Vehicularity"
"1","aaa","Ghotuo",351.4570923,227.0555293,7,0.120828446,0,9000,0,5.167666912,0,0
"2","aab","Alumu-Tesu",684.9346924,39.49597832,3,0.12154016,0,7000,0,5.532274246,0,0
"3","aac","Ari",320.3540726,1102.240604,5,0.031685408,0,50,0,3.526711643,0,0
"4","aad","Amal",798.9605103,63.46062922,0,0,0,830,0,5.861983538,0,0
"5","aae","Arbëreshë Albanian",648.4189453,591.8280621,2,0.007544153,0,100000,0,6.456739426,0,0
"6","aaf","Aranadan",792.9188232,70.35875753,0,0,0,200,0,5.967473507,0,0
"7","aag","Ambrak",798.9605103,44.31627387,4,0.130333576,0,290,0,5.861983538,0,0
"8","aai","Arifama-Miniafia",1320.206238,141.1149373,3,0.033704527,0,3470,0,6.554695368,0,0
"9","aak","Ankave",1690.902893,205.0679028,4,0.070347925,0,1600,0,6.805873156,0,0
"10","aal","Afade",164.3442841,1520.064863,8,0.040300212,0,5000,0,3.178839147,0,0
"11","aan","Anambé",82.83061218,529.755437,1,0.011347572,0,6,0,3.183473349,0,0
"12","aap","Pará Arára",162.8749695,5368.268629,1,0.002533208,0,340,0,4.200352192,0,0
"13","aaq","Eastern Abenaki",363.8527374,51994.69699,2,0.001103374,1,1800,1,4.962409735,0,0
"14","aar","Afar",1416.242905,133871.0707,9,0.003506409,0,1379200,0,6.227539063,0,1
"15","aas","Aasax",763.3223877,812.6089533,0,0,0,350,0,6.349441051,0,0
"16","aat","Arvanitika Albanian",526.3833256,8698.048991,3,0.001912623,0,50000,0,6.132799268,0,0
"17","aau","Abau",988.9312134,2200.578803,10,0.033088006,0,7270,0,6.103123665,0,0
"18","aaw","Solong",613.0570679,1002.856973,2,0.007886613,0,2200,0,6.149116993,0,0
"19","aax","Mandobo Atas",1158.072285,4123.064614,8,0.027330171,0,10000,0,4.179676354,0,0
"20","aaz","Amarasi",316.5432124,796.5878631,2,0.010949671,0,70000,0,5.266884923,0,0
"21","aba","Abé",160.7036743,4217.068936,8,0.020434605,0,170000,0,4.193180084,0,0
"22","abb","Bankon",917.5430145,419.5082335,4,0.047419639,0,12000,0,6.092959404,0,0
"23","abc","Ambala Ayta",378.2962646,75.12178619,1,0.023997609,0,1660,0,5.941675186,0,0
"24","abd","Camarines Norte Agta",301.3759816,21.47350494,1,0.058544332,0,3800,0,5.460740089,0,0
"25","abe","Western Abenaki",497.9520264,29642.961,4,0.003401011,1,14,1,5.596167088,0,0
"26","abf","Abai Sungai",324.1733856,54.79749181,2,0.075533546,0,0,0,4.771843433,0,0
"27","abg","Abaga",1916.283508,1.045075959,0,0,0,5,0,6.958115339,0,0
"28","abi","Abidji",170.2126007,1125.248906,5,0.037106662,0,50500,0,4.189496994,0,0
"29","abj","Akabea",75.4839859,155.0250565,1,0.018668792,0,0,0,4.28423357,0,0
"30","abk","Abkhazian",2058.732849,1847.401115,4,0.012002977,1,105000,1,6.638785362,0,1
"31","abl","Lampung Nyo",412.9399567,1825.780868,2,0.005203371,0,180000,0,4.269862652,0,0
"32","abm","Abanyom",727.786972,214.5903105,5,0.069458567,0,12500,0,5.333243728,0,0
"33","abn","Abua",115.6379375,432.0696617,8,0.072074133,0,25000,0,2.924462557,0,0
"34","abo","Abon",1055.950439,85.01526441,4,0.092802216,0,1000,0,5.800908089,0,0
"35","abp","Abenlen Ayta",604.4528809,118.6165102,2,0.044785915,0,3000,0,6.177906871,0,0
"36","abq","Abaza",2472.80249,684.9156414,4,0.01295728,1,37800,1,6.349568367,0,0
"37","abr","Abron",173.119194,14625.38211,7,0.006417819,0,1183000,0,4.437000036,0,0
"38","abt","Ambulas",608.9898071,1154.190211,9,0.058650797,0,44000,0,5.62084341,0,0
"39","abu","Abure",180.5846939,1185.014848,7,0.028449531,0,55100,0,4.229865789,0,0
"40","abw","Pal",1692.247772,254.6516674,6,0.070310975,0,1160,0,6.021868944,0,0
"41","abx","Inabaknon",188.1075287,35.88381396,0,0,0,26400,0,5.224923372,0,0
"42","aby","Aneme Wake",1126.683517,1243.6425,4,0.027164698,0,650,0,6.858831644,0,0
"43","abz","Abui",568.1637573,627.2398512,6,0.049964601,0,16000,0,6.116060734,0,0
"44","aca","Achagua",1314.366328,3413.503013,2,0.007296576,1,250,1,4.834309995,0,0
"45","acd","Gikyode",376.9318085,804.5338761,3,0.021441474,0,10400,0,4.998162508,0,0
"46","ace","Acehnese",1227.176697,17655.56414,6,0.002339913,0,3500000,0,6.805859804,0,0
"47","ach","Acoli",659.1866659,32136.11582,10,0.008595608,0,1197000,0,5.232975324,0,0
"48","aci","Akacari",76.31477737,472.4909205,1,0.005981059,0,0,0,4.28423357,0,0
"49","ack","Akakora",67.76947403,632.7555896,1,0.005002835,0,0,0,3.996647477,0,0
"50","acl","Akarbale",75.4839859,347.8295353,2,0.023395385,0,0,0,4.28423357,0,0
"51","acn","Longchuan Achang",1525.952393,1531.878702,5,0.014079534,0,62700,0,6.605379581,0,0
