variable,group
lang_island_lang,1
lang_L1.POP_lang_tr,2
soceco_Gini.SWIID.10yr.median_country_tr,3
edu_Ed.spending.pcGDP.10yr.median_country_tr,4
edu_Mean.yr.school.10yr.median_country_tr,5
soceco_Life.exp.sixty.average_country_tr,5
soceco_gdp.pcap.10yrmed_country_tr,5
landuse_urban.change_country_tr,6
worldlang_world.language.as.official_country_tr,7
edu_minority.education.policy_country_tr,8
worldlang_Arabic_country_tr,9
worldlang_Bahasa_country_tr,10
worldlang_English_country_tr,11
worldlang_French_country_tr,12
worldlang_Hindustani_country_tr,13
worldlang_Mandarin_country_tr,14
worldlang_Portuguese_country_tr,15
worldlang_Russian_country_tr,16
worldlang_Spanish_country_tr,17
edu_used.in.education_lang_tr,18
lang_official.in.any.country_lang_tr,18
landuse_hfp_polygon_tr,19
landuse_built_polygon_tr,20
landuse_croplands_polygon_tr,19
landuse_pasture_polygon_tr,21
landuse_pop.density_polygon_tr,19
shift_hfp.change_polygon_tr,19
shift_built.change_polygon_tr,20
shift_croplands.change_polygon_tr,19
shift_pasture.change_polygon_tr,21
shift_pop.density.change_polygon_tr,19
enviro_mgs_polygon_tr,3
enviro_temperature.seasonality_polygon_tr,3
enviro_precipitation.seasonality_polygon_tr,3
div_language.richness_nb_tr,22
div_threatened.languages_nb_tr,22
div_prop.threatened.languages_nb_tr,22
div_language.evenness_nb_tr,23
conn_nav.water_nb_tr,24
conn_roads_nb_tr,19
conn_altitude.range_tr,25
conn_roughness_nb_tr,25
div_bordering.language.richness_lang_tr,22
div_bordering.language.richness.per.km.perim_lang_tr,22
div_bordering.language.evenness_lang_tr,22
biodiv_species.endangered_polygon_tr,26
biodiv_species.prop.endangered_polygon_tr,26
enviro_mean.annual.temperature.kelvin_polygon_tr,3
div_L1pop.over.nb.popdens_nb_tr,2
lang_polygon.area_lang_tr,22
lang_documentation_lang_tr,27
Polysynthetic,28
Extended,28
Western_Africa,29
Oceania,29
Europe,29
Southern_Asia,29
South_America,29
Northern_America,29
Africa,29
South-Eastern_Asia,29
Arab,29
Asia,29
Central_America,29
Australia_and_New_Zealand,29
lang_island_lang_Western_Africa,1
lang_island_lang_Oceania,1
lang_island_lang_Europe,1
lang_island_lang_Southern_Asia,1
lang_island_lang_South_America,1
lang_island_lang_Northern_America,1
lang_island_lang_Africa,1
lang_island_lang_South-Eastern_Asia,1
lang_island_lang_Arab,1
lang_island_lang_Asia,1
lang_island_lang_Central_America,1
lang_island_lang_Australia_and_New_Zealand,1
lang_L1.POP_lang_tr_Western_Africa,2
lang_L1.POP_lang_tr_Oceania,2
lang_L1.POP_lang_tr_Europe,2
lang_L1.POP_lang_tr_Southern_Asia,2
lang_L1.POP_lang_tr_South_America,2
lang_L1.POP_lang_tr_Northern_America,2
lang_L1.POP_lang_tr_Africa,2
lang_L1.POP_lang_tr_South-Eastern_Asia,2
lang_L1.POP_lang_tr_Arab,2
lang_L1.POP_lang_tr_Asia,2
lang_L1.POP_lang_tr_Central_America,2
lang_L1.POP_lang_tr_Australia_and_New_Zealand,2
soceco_Gini.SWIID.10yr.median_country_tr_Western_Africa,3
soceco_Gini.SWIID.10yr.median_country_tr_Oceania,3
soceco_Gini.SWIID.10yr.median_country_tr_Europe,3
soceco_Gini.SWIID.10yr.median_country_tr_Southern_Asia,3
soceco_Gini.SWIID.10yr.median_country_tr_South_America,3
soceco_Gini.SWIID.10yr.median_country_tr_Northern_America,3
soceco_Gini.SWIID.10yr.median_country_tr_Africa,3
soceco_Gini.SWIID.10yr.median_country_tr_South-Eastern_Asia,3
soceco_Gini.SWIID.10yr.median_country_tr_Arab,3
soceco_Gini.SWIID.10yr.median_country_tr_Asia,3
